site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
ROM-041.77,LR26,LR,2015,2,213,2015-08-01,River,50.31643,-63.31043,Downriver
ROM-039.16,LR26.1,LR,2015,2,213,2015-08-01,River,50.30951,-63.34709,Downriver
ROM-035.57,LR26.2,LR,2015,2,213,2015-08-01,River,50.32816,-63.3714,Downriver
ROM-016.08,LR27,LR,2015,2,214,2015-08-02,River,50.30883,-63.62249,Downriver
ROM-016.07,LR27.1,LR,2015,2,214,2015-08-02,River,50.30959,-63.62178,Downriver
ROM-002.92,LR27.10,LR,2015,2,214,2015-08-02,River,50.31122,-63.77962,Downriver
ROM-015.89,LR27.2,LR,2015,2,214,2015-08-02,River,50.3087,-63.62362,Downriver
ROM-015.80,LR27.3,LR,2015,2,214,2015-08-02,River,50.31021,-63.62534,Downriver
ROM-014.82,LR27.4,LR,2015,2,214,2015-08-02,River,50.30957,-63.6375,Downriver
ROM-014.47,LR27.5,LR,2015,2,214,2015-08-02,River,50.30928,-63.64319,Downriver
ROM-010.34,LR27.6,LR,2015,2,214,2015-08-02,River,50.30682,-63.69707,Downriver
ROM-008.72,LR27.7,LR,2015,2,214,2015-08-02,River,50.30722,-63.72023,Downriver
ROM-005.36,LR27.8,LR,2015,2,214,2015-08-02,River,50.32455,-63.75273,Downriver
ROM-004.92,LR27.9,LR,2015,2,214,2015-08-02,River,50.321169,-63.75611,Downriver
ROM-002.35,LR28,LR,2015,2,214,2015-08-02,River,50.30623,-63.78501,Downriver
ROM-083.49,LR29,LR,2015,2,215,2015-08-03,River,50.62703,-63.18789,Downriver
ROM-083.23,LR29.1,LR,2015,2,215,2015-08-03,River,50.63052,-63.18324,Downriver
ROM-081.82,LR29.2,LR,2015,2,215,2015-08-03,River,50.6226,-63.17119,Downriver
ROM-081.67,LR29.3,LR,2015,2,215,2015-08-03,River,50.62117,-63.17039,Downriver
ROM-078.42,LR29.4,LR,2015,2,215,2015-08-03,River,50.59242,-63.17873,Downriver
ROM-076.74,LR29.5,LR,2015,2,215,2015-08-03,River,50.57771,-63.18682,Downriver
ROM-075.95,LR29.6,LR,2015,2,215,2015-08-03,River,50.57125,-63.1926,Downriver
ROM-075.30,LR29.7,LR,2015,2,215,2015-08-03,River,50.56617,-63.19817,Downriver
ROM-073.51,LR30,LR,2015,2,215,2015-08-03,River,50.55143,-63.21043,Downriver
ROM-072.19,LR30.1,LR,2015,2,215,2015-08-03,River,50.54066,-63.21921,Downriver
ROM-069.63,LR30.2,LR,2015,2,215,2015-08-03,River,50.52008,-63.23783,Downriver
ROM-067.88,LR30.3,LR,2015,2,215,2015-08-03,River,50.50509,-63.24615,Downriver
ROM-067.26,LR30.4,LR,2015,2,215,2015-08-03,River,50.49771,-63.24758,Downriver
ROM-063.87,LR30.5,LR,2015,2,215,2015-08-03,River,50.46807,-63.24628,Downriver
ROM-063.11,LR30.6,LR,2015,2,215,2015-08-03,River,50.46676,-63.23484,Downriver
ROM-063.04,LR31,LR,2015,2,215,2015-08-03,River,50.46586,-63.23566,Downriver
ROM-176.18,LR32,LR,2015,2,217,2015-08-05,River,51.27679,-63.35451,Upriver
ROM-175.40,LR32.1,LR,2015,2,217,2015-08-05,River,51.27077,-63.35045,Upriver
ROM-174.61,LR32.2,LR,2015,2,217,2015-08-05,River,51.26437,-63.34502,Upriver
ROM-170.13,LR32.3,LR,2015,2,217,2015-08-05,River,51.22368,-63.34276,Upriver
ROM-169.11,LR32.4,LR,2015,2,217,2015-08-05,River,51.21544,-63.34621,Upriver
ROM-167.58,LR32.5,LR,2015,2,217,2015-08-05,River,51.203317,-63.35728,Upriver
ROM-165.46,LR32.6,LR,2015,2,217,2015-08-05,River,51.18422,-63.36316,Upriver
ROM-163.56,LR32.7,LR,2015,2,217,2015-08-05,River,51.16989,-63.37828,Upriver
ROM-162.06,LR32.8,LR,2015,2,217,2015-08-05,River,51.15894,-63.39169,Upriver
ROM-161.15,LR32.9,LR,2015,2,217,2015-08-05,River,51.15202,-63.39798,Upriver
ROM-160.57,LR33,LR,2015,2,217,2015-08-05,River,51.14743,-63.40163,Upriver
ROM-253.76,LR34,LR,2015,2,220,2015-08-08,River,51.68949,-63.72206,Upriver
ROM-253.72,LR34.1,LR,2015,2,220,2015-08-08,River,51.6891,-63.72208,Upriver
ROM-241.06,LR34.2,LR,2015,2,220,2015-08-08,River,51.58295,-63.68024,Upriver
ROM-235.57,LR34.3,LR,2015,2,220,2015-08-08,River,51.54807,-63.7328,Upriver
ROM-227.46,LR34.4,LR,2015,2,220,2015-08-08,River,51.48506,-63.79132,Upriver
ROM-218.93,LR34.5,LR,2015,2,220,2015-08-08,River,51.41164,-63.77117,Upriver
ROM-368.04,LR35,LR,2015,2,221,2015-08-09,HeadwaterLakes,52.35411,-63.99541,HeadwaterLakes
ROM-347.44,LR36,LR,2015,2,221,2015-08-09,HeadwaterLakes,52.23624,-63.77818,HeadwaterLakes
ROM-331.80,LR37,LR,2015,2,221,2015-08-09,HeadwaterLakes,52.12115,-63.71056,HeadwaterLakes
ROM-321.61,LR38,LR,2015,2,221,2015-08-09,HeadwaterLakes,52.05493,-63.7011,HeadwaterLakes
ROM-309.83,LR39,LR,2015,2,221,2015-08-09,HeadwaterLakes,52.08602,-63.83853,HeadwaterLakes
ROM-000.47,LR40,LR,2015,2,221,2015-08-09,River,50.29681,-63.80553,Downriver
ROM-000.33,LR41,LR,2015,2,221,2015-08-09,River,50.29335,-63.81304,Downriver
ROM-307.27,LR42,LR,2015,2,222,2015-08-10,River,52.06438,-63.84188,Upriver
ROM-306.97,LR42.1,LR,2015,2,222,2015-08-10,River,52.06231,-63.84193,Upriver
ROM-303.46,LR42.2,LR,2015,2,222,2015-08-10,River,52.03613,-63.828747,Upriver
ROM-302.53,LR42.3,LR,2015,2,222,2015-08-10,River,52.03285,-63.82816,Upriver
ROM-297.20,LR42.4,LR,2015,2,222,2015-08-10,River,51.99836,-63.80354,Upriver
ROM-297.07,LR42.5,LR,2015,2,222,2015-08-10,River,51.99832,-63.8011,Upriver
ROM-292.57,LR43,LR,2015,2,222,2015-08-10,River,51.96536,-63.77366,Upriver
