"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","sample.type.year","Season","lat","long","temp.water.ysi","do.cor.perc.ysi","ph.ysi","DOC","bact.abundance","elev_m","flacc_npx","uplength_m","snapped_lat_tm5","snapped_long_tm5"
"RO2.24","RE2-139-M","RO2-24","RO2",2015,2,219,"2015-08-07","Reservoir","RO2","August",51.00272,-63.35092,17.55,94.9066148621146,6.51,7.11274810722325,NA,229.1699982,52447500,380904,5652242.26651,385171.210339
"RO2.25","RE2-143-AE","RO2-25","RO2",2015,2,219,"2015-08-07","Reservoir","RO2","August",51.02819,-63.2509,19.12,91.1833525829713,6.4,5.52230407202783,NA,229.1699982,57583900,384528,5651513.0755,388059.378683
"RO2.26","RE2-147-AE","RO2-26","RO2",2015,2,219,"2015-08-07","Reservoir","RO2","August",51.05861,-63.19764,18.87,94.5605128995636,6.44,5.75455289543687,1334500,229.1699982,57583900,384528,5651513.0755,388059.378683
"RO2.27","RE2-116-M","RO2-27","RO2",2015,2,219,"2015-08-07","Reservoir","RO2","August",50.87214,-63.2106,18.26,86.5425659770526,6.21,5.94485369347248,NA,229.1699982,58675000,409366,5638058.78633,395550.687687
"RO2.28","RE2-114-AE","RO2-28","RO2",2015,2,219,"2015-08-07","Reservoir","RO2","August",50.86131,-63.15281,18.69,92.8182694224611,6.41,6.03181911192961,1059000,229.1699982,59231000,412033,5636271.55344,397453.074732
"RO2.29","RE2-111-M","RO2-29","RO2",2015,2,219,"2015-08-07","Reservoir","RO2","August",50.83579,-63.19522,16.96,86.8375270629925,6.29,6.00470636382239,1071500,229.1699982,59444700,414592,5633898.10817,397009.840976
"T15","TR-013.00","T15","TR",2015,2,214,"2015-08-02","Tributary","Tributary","August",50.30985,-63.66135,16.65,100.288317333567,5.88,11.7367505627174,1385000,8.0429001,5945820,107369,5575090.04015,364467.904587
"T16","TR-080.57","T16","TR",2015,2,215,"2015-08-03","Tributary","Tributary","August",50.632,-63.16698,17.39,101.126300996242,5.66,8.83824432166973,1636500,84.1211014,2830120,74349.3984375,5611436.16526,399101.971974
"T17","TR-063.16","T17","TR",2015,2,215,"2015-08-03","Tributary","Tributary","August",50.46852,-63.23358,15.62,88.9664320629812,5.17,15.2128094945774,1587500,83.1699982,61176,10475,5593169.52142,394699.612341
"T18","TR-172.49","T18","TR",2015,2,217,"2015-08-05","Tributary","Tributary","August",51.24445,-63.33876,16.6,95.5791140515669,6.68,7.5305428662488,944500,279.9750061,493254,26827.0996094,5679360.55098,385614.444094
"T20","TR-161.22","T20","TR",2015,2,217,"2015-08-05","Tributary","Tributary","August",51.15319,-63.40168,15.63,96.2636266166512,6.24,5.35911602209945,671500,286.9410095,67636,8308.0996094,5669013.65992,381636.562907
"T30","TR-187.36","T30","TR",2015,2,222,"2015-08-10","Tributary","Tributary","August",51.32538,-63.49067,16.67,111.126671857063,6.36,6.95580580048868,1267500,396.6159973,240644,16987.9003906,5688193.00786,375142.494771
"RO2.22.r2","RE2-130-M","RO2-22","RO2",2015,2,218,"2015-08-06","Reservoir","RO2","August",50.96213,-63.2999,18.76,98.0330493227517,6.56,5.78524657253939,1087000,NA,NA,NA,NA,NA
